entrez_gene_ida	symbol_a	entrez_gene_idb	symbol_b
7041	TGFB1I1	9618	TRAF4
4692	NDN	4804	NGFR
920	CD4	920	CD4
3064	HTT	23493	HEY2
9169	SCAF11	11338	U2AF2
2782	GNB1	2792	GNGT1
23325	KIAA1033	253725	FAM21C
7132	TNFRSF1A	7132	TNFRSF1A
3065	HDAC1	4088	SMAD3
3726	JUNB	8061	FOSL1
3656	IRAK2	51135	IRAK4
5147	PDE6D	5906	RAP1A
1398	CRK	6654	SOS1
190	NR0B1	2516	NR5A1
10197	PSME3	57154	SMURF1
56904	SH3GLB2	56904	SH3GLB2
7251	TSG101	85365	ALG2
5797	PTPRM	5797	PTPRM
1740	DLG2	2904	GRIN2B
3930	LBR	11335	CBX3
7534	YWHAZ	8661	EIF3A
10243	GPHN	23229	ARHGEF9
4087	SMAD2	51588	PIAS4
996	CDC27	5925	RB1
367	AR	367	AR
988	CDC5L	81620	CDT1
3064	HTT	57562	KIAA1377
57396	CLK4	59286	UBL5
6473	SHOX	55553	SOX6
2768	GNA12	5518	PPP2R1A
7046	TGFBR1	7048	TGFBR2
7322	UBE2D2	26994	RNF11
3394	IRF8	3659	IRF1
1499	CTNNB1	2494	NR5A2
9826	ARHGEF11	23654	PLXNB2
2275	FHL3	3679	ITGA7
1639	DCTN1	4137	MAPT
4778	NFE2	4778	NFE2
801	CALM1	818	CAMK2G
891	CCNB1	1017	CDK2
6634	SNRPD3	27258	LSM3
2618	GART	2618	GART
5673	PSG5	7075	TIE1
10498	CARM1	23426	GRIP1
998	CDC42	10298	PAK4
387	RHOA	387	RHOA
4291	MLF1	7534	YWHAZ
10458	BAIAP2	10458	BAIAP2
4218	RAB8A	4952	OCRL
23400	ATP13A2	23770	FKBP8
1017	CDK2	8517	IKBKG
8936	WASF1	10152	ABI2
567	B2M	910	CD1B
3490	IGFBP7	51652	CHMP3
7321	UBE2D1	23295	MGRN1
1027	CDKN1B	8900	CCNA1
6015	RING1	84759	PCGF1
7534	YWHAZ	10458	BAIAP2
6774	STAT3	30837	SOCS7
6550	SLC9A3	9368	SLC9A3R1
10241	CALCOCO2	10241	CALCOCO2
4646	MYO6	22853	LMTK2
5879	RAC1	7409	VAV1
1742	DLG4	22941	SHANK2
891	CCNB1	993	CDC25A
2885	GRB2	4133	MAP2
1742	DLG4	2904	GRIN2B
801	CALM1	6548	SLC9A1
3198	HOXA1	10015	PDCD6IP
9126	SMC3	83463	MXD3
1021	CDK6	1031	CDKN2C
2547	XRCC6	7014	TERF2
9126	SMC3	22920	KIFAP3
329	BIRC2	7323	UBE2D3
1454	CSNK1E	4163	MCC
1739	DLG1	25960	GPR124
10083	USH1C	124590	USH1G
1956	EGFR	5753	PTK6
7726	TRIM26	7726	TRIM26
1490	CTGF	7422	VEGFA
4217	MAP3K5	7533	YWHAH
11244	ZHX1	11244	ZHX1
902	CCNH	1022	CDK7
4487	MSX1	7157	TP53
7415	VCP	55968	NSFL1C
6456	SH3GL2	8754	ADAM9
7465	WEE1	7529	YWHAB
8911	CACNA1I	117144	CATSPER1
4437	MSH3	5810	RAD1
5774	PTPN3	7529	YWHAB
11335	CBX3	11335	CBX3
5562	PRKAA1	5571	PRKAG1
1028	CDKN1C	4176	MCM7
1207	CLNS1A	6633	SNRPD2
2321	FLT1	5228	PGF
7322	UBE2D2	9666	DZIP3
5236	PGM1	6271	S100A1
5371	PML	5987	TRIM27
1660	DHX9	5970	RELA
3399	ID3	4618	MYF6
5594	MAPK1	8682	PEA15
1665	DHX15	57794	SUGP1
10523	CHERP	11017	SNRNP27
3569	IL6	3570	IL6R
3672	ITGA1	5771	PTPN2
3815	KIT	5296	PIK3R2
